0.556,0.0012566
0.557,0.0012566
0.558,0.0012566
0.559,0.0012566
0.56,0.0012566
0.561,0.0012566
0.562,0.0012566
0.563,0.0012566
0.564,0.0012566
0.565,0.0012566
0.566,0.0012566
0.567,0.0012566
0.568,0.0012566
0.569,0.0012566
0.57,0.0012566
0.571,0.0012566
0.572,0.0012566
0.573,0.0012566
0.574,0.0012566
0.575,0.0012566
0.576,0.0012566
0.577,0.0012566
0.578,0.0012566
0.579,0.0012566
0.58,0.0012566
0.581,0.0012566
0.582,0.0012566
0.583,0.0012566
0.584,0.0012566
0.585,0.0012566
0.586,0.0012566
0.587,0.0012566
0.588,0.0012566
0.589,0.0012566
0.59,0.0012566
0.591,0.0012566
0.592,0.0012566
0.593,0.0012566
0.594,0.0012566
0.595,0.0012566
0.596,0.0012566
0.597,0.0012566
0.598,0.0012566
0.599,0.0012566
0.6,0.0012566
0.601,0.0012566
0.602,0.0012566
0.603,0.0012566
0.604,0.0012566
0.605,0.0012566
0.606,0.0012566
0.607,0.0012566
0.608,0.0012566
0.609,0.0012566
0.61,0.0012566
0.611,0.0012566
0.612,0.0012566
0.613,0.0012566
0.614,0.0012566
0.615,0.0012566
0.616,0.0012566
0.617,0.0012566
0.618,0.0012566
0.619,0.0012566
0.62,0.0012566
0.621,0.0012566
0.622,0.0012566
0.623,0.0012566
0.624,0.0012566
0.625,0.0012566
0.626,0.0012566
0.627,0.0012566
0.628,0.0012566
0.629,0.0012566
0.63,0.0012566
0.631,0.0012566
0.632,0.0012566
0.633,0.0012566
0.634,0.0012566
0.635,0.0012566
0.636,0.0012566
0.637,0.0012566
0.638,0.0012566
0.639,0.0012566
0.64,0.0012566
0.641,0.0012566
0.642,0.0012566
0.643,0.0012566
0.644,0.0012566
0.645,0.0012566
0.646,0.0025133
0.647,0.0025133
0.648,0.0025133
0.649,0.0025133
0.65,0.0025133
0.651,0.0025133
0.652,0.0025133
0.653,0.0025133
0.654,0.0025133
0.655,0.0025133
0.656,0.0025133
0.657,0.0025133
0.658,0.0025133
0.659,0.0025133
0.66,0.0025133
0.661,0.0025133
0.662,0.0025133
0.663,0.0025133
0.664,0.0025133
0.665,0.0025133
0.666,0.0025133
0.667,0.0025133
0.668,0.0025133
0.669,0.0025133
0.67,0.0025133
0.671,0.0025133
0.672,0.0025133
0.673,0.0025133
0.674,0.0025133
0.675,0.0025133
0.676,0.0025133
0.677,0.0025133
0.678,0.0025133
0.679,0.0025133
0.68,0.0025133
0.681,0.0025133
0.682,0.0025133
0.683,0.0025133
0.684,0.0025133
0.685,0.0025133
0.686,0.0025133
0.687,0.0025133
0.688,0.0025133
0.689,0.0025133
0.69,0.0025133
0.691,0.0025133
0.692,0.0025133
0.693,0.0025133
0.694,0.0025133
0.695,0.0025133
0.696,0.0025133
0.697,0.0025133
0.698,0.0025133
0.699,0.0025133
0.7,0.0025133
0.701,0.0025133
0.702,0.0025133
0.703,0.0025133
0.704,0.0025133
0.705,0.0025133
0.706,0.0025133
0.707,0.0025133
0.708,0.0025133
0.709,0.0025133
0.71,0.0025133
0.711,0.0025133
0.712,0.0025133
0.713,0.0025133
0.714,0.0025133
0.715,0.0025133
0.716,0.0025133
0.717,0.0025133
0.718,0.0025133
0.719,0.0025133
0.72,0.0025133
0.721,0.0025133
0.722,0.0025133
0.723,0.0025133
0.724,0.0025133
0.725,0.0025133
0.726,0.0025133
0.727,0.0025133
0.728,0.0025133
0.729,0.0025133
0.73,0.0025133
0.731,0.0025133
0.732,0.0025133
0.733,0.0025133
0.734,0.0025133
0.735,0.0025133
0.736,0.0025133
0.737,0.0025133
0.738,0.0025133
0.739,0.0025133
0.74,0.0025133
0.741,0.0025133
0.742,0.0025133
0.743,0.0025133
0.744,0.0025133
0.745,0.0025133
0.746,0.0025133
0.747,0.0025133
0.748,0.0025133
0.749,0.0025133
0.75,0.0025133
0.751,0.0025133
0.752,0.0025133
0.753,0.0025133
0.754,0.0025133
0.755,0.0025133
0.756,0.0025133
0.757,0.0025133
0.758,0.0025133
0.759,0.0025133
0.76,0.0025133
0.761,0.0025133
0.762,0.0025133
0.763,0.0025133
0.764,0.0025133
0.765,0.0025133
0.766,0.0025133
0.767,0.0025133
0.768,0.0025133
0.769,0.0025133
0.77,0.0025133
0.771,0.0025133
0.772,0.0025133
0.773,0.0025133
0.774,0.0025133
0.775,0.0025133
0.776,0.0025133
0.777,0.0025133
0.778,0.0025133
0.779,0.0025133
0.78,0.0025133
0.781,0.0025133
0.782,0.0025133
0.783,0.0025133
0.784,0.0025133
0.785,0.0025133
0.786,0.0025133
0.787,0.0025133
0.788,0.0025133
0.789,0.0025133
0.79,0.0025133
0.791,0.0037699
0.792,0.0037699
0.793,0.0037699
0.794,0.0037699
0.795,0.0037699
0.796,0.0037699
0.797,0.0037699
0.798,0.0037699
0.799,0.0037699
0.8,0.0037699
0.801,0.0037699
0.802,0.0037699
0.803,0.0037699
0.804,0.0037699
0.805,0.0037699
0.806,0.0037699
0.807,0.0037699
0.808,0.0037699
0.809,0.0037699
0.81,0.0037699
0.811,0.0037699
0.812,0.0037699
0.813,0.0037699
0.814,0.0037699
0.815,0.0037699
0.816,0.0037699
0.817,0.0037699
0.818,0.0037699
0.819,0.0037699
0.82,0.0037699
0.821,0.0037699
0.822,0.0037699
0.823,0.0037699
0.824,0.0037699
0.825,0.0037699
0.826,0.0037699
0.827,0.0037699
0.828,0.0037699
0.829,0.0037699
0.83,0.0037699
0.831,0.0037699
0.832,0.0037699
0.833,0.0037699
0.834,0.0037699
0.835,0.0037699
0.836,0.0037699
0.837,0.0037699
0.838,0.0037699
0.839,0.0037699
0.84,0.0037699
0.841,0.0037699
0.842,0.0037699
0.843,0.0037699
0.844,0.0037699
0.845,0.0037699
0.846,0.0037699
0.847,0.0037699
0.848,0.0037699
0.849,0.0037699
0.85,0.0037699
0.851,0.0037699
0.852,0.0037699
0.853,0.0037699
0.854,0.0037699
0.855,0.0037699
0.856,0.0037699
0.857,0.0037699
0.858,0.0037699
0.859,0.0037699
0.86,0.0037699
0.861,0.0037699
0.862,0.0037699
0.863,0.0037699
0.864,0.0037699
0.865,0.0037699
0.866,0.0037699
0.867,0.0037699
0.868,0.0037699
0.869,0.0037699
0.87,0.0037699
0.871,0.0037699
0.872,0.0037699
0.873,0.0037699
0.874,0.0037699
0.875,0.0037699
0.876,0.0037699
0.877,0.0037699
0.878,0.0037699
0.879,0.0037699
0.88,0.0037699
0.881,0.0037699
0.882,0.0037699
0.883,0.0037699
0.884,0.0037699
0.885,0.0037699
0.886,0.0037699
0.887,0.0037699
0.888,0.0037699
0.889,0.0037699
0.89,0.0037699
0.891,0.0037699
0.892,0.0037699
0.893,0.0037699
0.894,0.0037699
0.895,0.0037699
0.896,0.0037699
0.897,0.0037699
0.898,0.0037699
0.899,0.0037699
0.9,0.0037699
0.901,0.0037699
0.902,0.0037699
0.903,0.0037699
0.904,0.0037699
0.905,0.0037699
0.906,0.0037699
0.907,0.0037699
0.908,0.0037699
0.909,0.0037699
0.91,0.0037699
0.911,0.0037699
0.912,0.0037699
0.913,0.0037699
0.914,0.0037699
0.915,0.0037699
0.916,0.0037699
0.917,0.0037699
0.918,0.0037699
0.919,0.0037699
0.92,0.0037699
0.921,0.0037699
0.922,0.0037699
0.923,0.0037699
0.924,0.0037699
0.925,0.0037699
0.926,0.0037699
0.927,0.0037699
0.928,0.0037699
0.929,0.0037699
0.93,0.0037699
0.931,0.0037699
0.932,0.0037699
0.933,0.0037699
0.934,0.0037699
0.935,0.0037699
0.936,0.0037699
0.937,0.0037699
0.938,0.0037699
0.939,0.0037699
0.94,0.0037699
0.941,0.0037699
0.942,0.0037699
0.943,0.0037699
0.944,0.0037699
0.945,0.0037699
0.946,0.0037699
0.947,0.0037699
0.948,0.0037699
0.949,0.0037699
0.95,0.0037699
0.951,0.0037699
0.952,0.0037699
0.953,0.0037699
0.954,0.0037699
0.955,0.0037699
0.956,0.0037699
0.957,0.0037699
0.958,0.0037699
0.959,0.0037699
0.96,0.0037699
0.961,0.0037699
0.962,0.0037699
0.963,0.0037699
0.964,0.0037699
0.965,0.0037699
0.966,0.0037699
0.967,0.0037699
0.968,0.0037699
0.969,0.0037699
0.97,0.0037699
0.971,0.0037699
0.972,0.0037699
0.973,0.0037699
0.974,0.0037699
0.975,0.0037699
0.976,0.0037699
0.977,0.0037699
0.978,0.0037699
0.979,0.0037699
0.98,0.0037699
0.981,0.0037699
0.982,0.0037699
0.983,0.0037699
0.984,0.0037699
0.985,0.0037699
0.986,0.0037699
0.987,0.0037699
0.988,0.0037699
0.989,0.0037699
0.99,0.0037699
0.991,0.0037699
0.992,0.0037699
0.993,0.0037699
0.994,0.0037699
0.995,0.0037699
0.996,0.0037699
0.997,0.0037699
0.998,0.0037699
0.999,0.0037699
1,0.0037699
1.001,0.0037699
1.002,0.0037699
1.003,0.0037699
1.004,0.0037699
1.005,0.0037699
1.006,0.0037699
1.007,0.0037699
1.008,0.0037699
1.009,0.0037699
1.01,0.0037699
1.011,0.0037699
1.012,0.0037699
1.013,0.0037699
1.014,0.0037699
1.015,0.0037699
1.016,0.0037699
1.017,0.0037699
1.018,0.0037699
1.019,0.0037699
1.02,0.0037699
1.021,0.0037699
1.022,0.0037699
1.023,0.0037699
1.024,0.0037699
1.025,0.0037699
1.026,0.0037699
1.027,0.0037699
1.028,0.0037699
1.029,0.0037699
1.03,0.0037699
1.031,0.0037699
1.032,0.0037699
1.033,0.0037699
1.034,0.0037699
1.035,0.0037699
1.036,0.0037699
1.037,0.0037699
1.038,0.0037699
1.039,0.0037699
1.04,0.0037699
1.041,0.0037699
1.042,0.0037699
1.043,0.0037699
1.044,0.0037699
1.045,0.0037699
1.046,0.0037699
1.047,0.0037699
1.048,0.0037699
1.049,0.0037699
1.05,0.0037699
1.051,0.0037699
1.052,0.0037699
1.053,0.0037699
1.054,0.0037699
1.055,0.0037699
1.056,0.0037699
1.057,0.0037699
1.058,0.0037699
1.059,0.0037699
1.06,0.0037699
1.061,0.0037699
1.062,0.0037699
1.063,0.0037699
1.064,0.0037699
1.065,0.0037699
1.066,0.0037699
1.067,0.0037699
1.068,0.0037699
1.069,0.0037699
1.07,0.0037699
1.071,0.0037699
1.072,0.0037699
1.073,0.0037699
1.074,0.0037699
1.075,0.0037699
1.076,0.0037699
1.077,0.0037699
1.078,0.0037699
1.079,0.0037699
1.08,0.0037699
1.081,0.0037699
1.082,0.0037699
1.083,0.0037699
1.084,0.0037699
1.085,0.0037699
1.086,0.0037699
1.087,0.0037699
1.088,0.0037699
1.089,0.0037699
1.09,0.0037699
1.091,0.0037699
1.092,0.0037699
1.093,0.0037699
1.094,0.0037699
1.095,0.0037699
1.096,0.0037699
1.097,0.0037699
1.098,0.0037699
1.099,0.0037699
1.1,0.0037699
1.101,0.0037699
1.102,0.0037699
1.103,0.0037699
1.104,0.0037699
1.105,0.0037699
1.106,0.0037699
1.107,0.0037699
1.108,0.0037699
1.109,0.0037699
1.11,0.0037699
1.111,0.0037699
1.112,0.0037699
1.113,0.0037699
1.114,0.0037699
1.115,0.0037699
1.116,0.0037699
1.117,0.0037699
1.118,0.0037699
1.119,0.0037699
1.12,0.0037699
1.121,0.0037699
1.122,0.0037699
1.123,0.0037699
1.124,0.0037699
1.125,0.0037699
1.126,0.0037699
1.127,0.0037699
1.128,0.0037699
1.129,0.0037699
1.13,0.0037699
1.131,0.0037699
1.132,0.0037699
1.133,0.0037699
1.134,0.0037699
1.135,0.0037699
1.136,0.0037699
1.137,0.0037699
1.138,0.0037699
1.139,0.0037699
1.14,0.0037699
1.141,0.0037699
1.142,0.0037699
1.143,0.0037699
1.144,0.0037699
1.145,0.0037699
1.146,0.0037699
1.147,0.0037699
1.148,0.0037699
1.149,0.0037699
1.15,0.0037699
1.151,0.0037699
1.152,0.0037699
1.153,0.0037699
1.154,0.0037699
1.155,0.0037699
1.156,0.0037699
1.157,0.0037699
1.158,0.0037699
1.159,0.0037699
1.16,0.0037699
1.161,0.0037699
1.162,0.0037699
1.163,0.0037699
1.164,0.0037699
1.165,0.0037699
1.166,0.0037699
1.167,0.0037699
1.168,0.0037699
1.169,0.0037699
1.17,0.0037699
1.171,0.0037699
1.172,0.0037699
1.173,0.0037699
1.174,0.0037699
1.175,0.0037699
1.176,0.0037699
1.177,0.0037699
1.178,0.0037699
1.179,0.0037699
1.18,0.0037699
1.181,0.0037699
1.182,0.0037699
1.183,0.0037699
1.184,0.0037699
1.185,0.0037699
1.186,0.0037699
1.187,0.0037699
1.188,0.0037699
1.189,0.0037699
1.19,0.0037699
1.191,0.0037699
1.192,0.0037699
1.193,0.0037699
1.194,0.0037699
1.195,0.0037699
1.196,0.0037699
1.197,0.0037699
1.198,0.0037699
1.199,0.0037699
1.2,0.0037699
1.201,0.0037699
1.202,0.0037699
1.203,0.0037699
1.204,0.0037699
1.205,0.0037699
1.206,0.0037699
1.207,0.0037699
1.208,0.0037699
1.209,0.0037699
1.21,0.0037699
1.211,0.0037699
1.212,0.0037699
1.213,0.0037699
1.214,0.0037699
1.215,0.0037699
1.216,0.0037699
1.217,0.0037699
1.218,0.0037699
1.219,0.0037699
1.22,0.0037699
1.221,0.0037699
1.222,0.0037699
1.223,0.0037699
1.224,0.0037699
1.225,0.0037699
1.226,0.0037699
1.227,0.0037699
1.228,0.0037699
1.229,0.0037699
1.23,0.0037699
1.231,0.0037699
1.232,0.0037699
1.233,0.0037699
1.234,0.0037699
1.235,0.0037699
1.236,0.0037699
1.237,0.0037699
1.238,0.0037699
1.239,0.0037699
1.24,0.0037699
1.241,0.0037699
1.242,0.0037699
1.243,0.0037699
1.244,0.0037699
1.245,0.0037699
1.246,0.0037699
1.247,0.0037699
1.248,0.0037699
1.249,0.0037699
1.25,0.0037699
1.251,0.0037699
1.252,0.0037699
1.253,0.0037699
1.254,0.0037699
1.255,0.0037699
1.256,0.0037699
1.257,0.0037699
1.258,0.0037699
1.259,0.0037699
1.26,0.0037699
1.261,0.0037699
1.262,0.0037699
1.263,0.0037699
1.264,0.0037699
1.265,0.0037699
1.266,0.0037699
1.267,0.0037699
1.268,0.0037699
1.269,0.0037699
1.27,0.0037699
1.271,0.0037699
1.272,0.0037699
1.273,0.0037699
1.274,0.0037699
1.275,0.0037699
1.276,0.0037699
1.277,0.0037699
1.278,0.0037699
1.279,0.0037699
1.28,0.0037699
1.281,0.0037699
1.282,0.0037699
1.283,0.0037699
1.284,0.0037699
1.285,0.0037699
1.286,0.0037699
1.287,0.0037699
1.288,0.0037699
1.289,0.0037699
1.29,0.0037699
1.291,0.0037699
1.292,0.0037699
1.293,0.0037699
1.294,0.0037699
1.295,0.0037699
1.296,0.0037699
1.297,0.0037699
1.298,0.0037699
1.299,0.0037699
1.3,0.0037699
1.301,0.0037699
1.302,0.0037699
1.303,0.0037699
1.304,0.0037699
1.305,0.0037699
1.306,0.0037699
1.307,0.0037699
1.308,0.0037699
1.309,0.0037699
1.31,0.0037699
1.311,0.0037699
1.312,0.0037699
1.313,0.0037699
1.314,0.0037699
1.315,0.0037699
1.316,0.0037699
1.317,0.0037699
1.318,0.0037699
1.319,0.0037699
1.32,0.0037699
1.321,0.0037699
1.322,0.0037699
1.323,0.0037699
1.324,0.0037699
1.325,0.0037699
1.326,0.0037699
1.327,0.0037699
1.328,0.0037699
1.329,0.0037699
1.33,0.0037699
1.331,0.0037699
1.332,0.0037699
1.333,0.0037699
1.334,0.0037699
1.335,0.0037699
1.336,0.0037699
1.337,0.0037699
1.338,0.0037699
1.339,0.0037699
1.34,0.0037699
1.341,0.0037699
1.342,0.0037699
1.343,0.0037699
1.344,0.0037699
1.345,0.0037699
1.346,0.0037699
1.347,0.0037699
1.348,0.0037699
1.349,0.0037699
1.35,0.0037699
1.351,0.0037699
1.352,0.0037699
1.353,0.0037699
1.354,0.0037699
1.355,0.0037699
1.356,0.0037699
1.357,0.0037699
1.358,0.0037699
1.359,0.0037699
1.36,0.0037699
1.361,0.0037699
1.362,0.0037699
1.363,0.0037699
1.364,0.0037699
1.365,0.0037699
1.366,0.0037699
1.367,0.0037699
1.368,0.0037699
1.369,0.0037699
1.37,0.0037699
1.371,0.0037699
1.372,0.0037699
1.373,0.0037699
1.374,0.0037699
1.375,0.0037699
1.376,0.0037699
1.377,0.0037699
1.378,0.0037699
1.379,0.0037699
1.38,0.0037699
1.381,0.0037699
1.382,0.0037699
1.383,0.0037699
1.384,0.0037699
1.385,0.0037699
1.386,0.0037699
1.387,0.0037699
1.388,0.0037699
1.389,0.0037699
1.39,0.0037699
1.391,0.0037699
1.392,0.0037699
1.393,0.0037699
1.394,0.0037699
1.395,0.0037699
1.396,0.0037699
1.397,0.0037699
1.398,0.0037699
1.399,0.0037699
1.4,0.0037699
1.401,0.0037699
1.402,0.0037699
1.403,0.0037699
1.404,0.0037699
1.405,0.0037699
1.406,0.0037699
1.407,0.0037699
1.408,0.0037699
1.409,0.0037699
1.41,0.0037699
1.411,0.0037699
1.412,0.0037699
1.413,0.0037699
1.414,0.0037699
1.415,0.0037699
1.416,0.0037699
1.417,0.0037699
1.418,0.0037699
1.419,0.0037699
1.42,0.0037699
1.421,0.0037699
1.422,0.0037699
1.423,0.0037699
1.424,0.0037699
1.425,0.0037699
1.426,0.0037699
1.427,0.0037699
1.428,0.0037699
1.429,0.0037699
1.43,0.0037699
1.431,0.0037699
1.432,0.0025133
1.433,0.0025133
1.434,0.0025133
1.435,0.0025133
1.436,0.0025133
1.437,0.0025133
1.438,0.0025133
1.439,0.0025133
1.44,0.0025133
1.441,0.0025133
1.442,0.0025133
1.443,0.0025133
1.444,0.0025133
1.445,0.0025133
1.446,0.0025133
1.447,0.0025133
1.448,0.0025133
1.449,0.0025133
1.45,0.0025133
1.451,0.0025133
1.452,0.0025133
1.453,0.0025133
1.454,0.0025133
1.455,0.0025133
1.456,0.0025133
1.457,0.0025133
1.458,0.0025133
1.459,0.0025133
1.46,0.0025133
1.461,0.0025133
1.462,0.0025133
1.463,0.0025133
1.464,0.0025133
1.465,0.0025133
1.466,0.0025133
1.467,0.0025133
1.468,0.0025133
1.469,0.0025133
1.47,0.0025133
1.471,0.0025133
1.472,0.0025133
1.473,0.0025133
1.474,0.0025133
1.475,0.0025133
1.476,0.0025133
1.477,0.0025133
1.478,0.0025133
1.479,0.0025133
1.48,0.0025133
1.481,0.0025133
1.482,0.0025133
1.483,0.0025133
1.484,0.0025133
1.485,0.0025133
1.486,0.0025133
1.487,0.0025133
1.488,0.0025133
1.489,0.0025133
1.49,0.0025133
1.491,0.0025133
1.492,0.0025133
1.493,0.0025133
1.494,0.0025133
1.495,0.0025133
1.496,0.0025133
1.497,0.0025133
1.498,0.0025133
1.499,0.0025133
1.5,0.0025133
1.501,0.0025133
1.502,0.0025133
1.503,0.0025133
1.504,0.0025133
1.505,0.0025133
1.506,0.0025133
1.507,0.0025133
1.508,0.0025133
1.509,0.0025133
1.51,0.0025133
1.511,0.0025133
1.512,0.0025133
1.513,0.0025133
1.514,0.0025133
1.515,0.0025133
1.516,0.0025133
1.517,0.0025133
1.518,0.0025133
1.519,0.0025133
1.52,0.0025133
1.521,0.0025133
1.522,0.0025133
1.523,0.0025133
1.524,0.0025133
1.525,0.0025133
1.526,0.0025133
1.527,0.0025133
1.528,0.0025133
1.529,0.0025133
1.53,0.0025133
1.531,0.0025133
1.532,0.0025133
